,sentence,topic,sentiment,tokens,dataset
77,"rồi giống như không muốn nghe nữa vậy , cho thời gian báo cáo là 15 phút , nhưng khi chưa kịp nói gì thì thầy nói chuyển , được khoảng 5 phút thì xong , không cho báo cáo nữa !",0,0,"['báo_cáo', '15', 'phút', 'kịp', 'thầy', '5', 'phút', 'xong', 'báo_cáo']",train
78,giáo viên giảng hơi khó hiểu ạ .,0,0,"['giáo_viên', 'giảng', 'hơi']",train
79,hệ thống máy chiếu cần cải thiện .,2,0,"['hệ_thống', 'máy_chiếu', 'cải_thiện']",train
80,thầy dễ chịu nên tiết học diễn ra vui vẻ không nhàm chán .,0,2,"['thầy', 'dễ_chịu', 'tiết', 'học', 'diễn', 'vui_vẻ', 'nhàm_chán']",train
81,"tận tâm , tận lực .",0,2,"['tận_tâm', 'tận_lực']",train
82,không biết thầy wzjwz260 là thầy nào ?,3,0,"['thầy', 'wzjwz260', 'thầy']",train
83,rất quan tâm .,0,2,[],train
84,"các thắc mắc có thể giải quyết tốt với giáo viên lý thuyết , cho nên không cần phải có thêm 1 giáo viên thực hành .",0,0,"['thắc_mắc', 'giải_quyết', 'giáo_viên', 'lý_thuyết', '1', 'giáo_viên', 'thực_hành']",train
85,chắc gì những gì sinh viên nói đã đúng .,1,0,['sinh_viên'],train
86,"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",1,0,"['cải_cách', 'nội_dung', 'thực_hành', 'kiến', 'nội_dung', 'thực_hành', 'trở_nên', 'lỗi_thời']",train
87,thà sinh viên ở nhà tự thực hành vui hơn .,1,0,"['sinh_viên', 'thực_hành', 'vui']",train
88,"giảng viên giảng dạy nhiệt tình , dễ hiểu !",0,2,"['giảng_viên', 'giảng_dạy', 'nhiệt_tình']",train
89,"nói to , chậm rãi , dễ hiểu , truyền đạt nhiều kiến thức quan trọng , có tính thực tế .",0,2,"['to', 'chậm_rãi', 'truyền_đạt', 'kiến_thức']",train
90,về chuyên môn thì khỏi chê vào đâu cả .,0,2,"['chuyên_môn', 'chê']",train
91,lên lớp giảng giải nhiệt tình .,0,2,"['lên_lớp', 'giảng_giải_nhiệt_tình']",train
92,thầy giảng bài tận tâm .,0,2,"['thầy', 'giảng', 'tận_tâm']",train
93,đề thi của thầy khá hay khi khai thác thực tiễn .,2,2,"['đề', 'thi', 'thầy', 'khai_thác', 'thực_tiễn']",train
94,em muốn được hiểu rõ những ứng dụng của môn học này vào ngành học mà chúng ta đang học là gì .,1,0,"['ứng_dụng', 'môn_học', 'ngành', 'học', 'học']",train
95,"chuẩn kiến thức , truyền đạt dễ hiểu , đúng giờ .",0,2,"['chuẩn', 'kiến_thức', 'truyền_đạt']",train
96,"giảng viên hỗ trợ bài giảng , tài liệu tham khảo rất đầy đủ trên moodle .",0,2,"['giảng_viên', 'giảng', 'tài_liệu', 'tham_khảo', 'đầy_đủ', 'moodle']",train
97,"cô rất nhiệt tình trong mọi hoạt động cả trong và ngoài việc học , thường xuyên tổ chức những hoạt động bổ ích .",0,2,"['nhiệt_tình', 'hoạt_động', 'học', 'thường_xuyên', 'tổ_chức', 'hoạt_động', 'bổ_ích']",train
98,thời gian trên lớp không hiệu quả .,1,2,"['lớp', 'hiệu_quả']",train
99,môn này không có giảng dạy .,1,0,"['môn', 'giảng_dạy']",train
100,cần có đề cương rõ ràng cho sinh viên nắm bắt .,1,0,"['đề_cương', 'rõ_ràng', 'sinh_viên', 'nắm_bắt']",train
101,phương pháp giảng dạy .,1,1,"['phương_pháp', 'giảng_dạy']",train
102,kết hợp lý thuyết và thực hành .,1,1,"['kết_hợp_lý_thuyết', 'thực_hành']",train
103,bài tập đầy đủ lý thuyết dễ hiểu .,1,2,"['bài_tập', 'đầy_đủ', 'lý_thuyết']",train
104,"thầy luôn đảm bảo giờ lên lớp , đưa thông tin , tài liệu đến sinh viên nhanh nhất , trả lời tất cả thắc mắc của sinh viên .",0,2,"['thầy', 'lên_lớp', 'thông_tin', 'tài_liệu', 'sinh_viên', 'trả_lời', 'thắc_mắc', 'sinh_viên']",train
105,không kiểm soát được lớp .,0,0,"['kiểm_soát', 'lớp']",train
106,thầy tình cảm và tận tâm !,0,2,"['thầy', 'tình_cảm', 'tận_tâm']",train
107,"giáo viên truyền đạt dễ hiểu , tận tình .",0,2,"['giáo_viên', 'truyền_đạt', 'tận_tình']",train
108,có liên hệ thực tiễn và lấy ví dụ minh họa .,0,2,"['liên_hệ', 'thực_tiễn', 'ví_dụ', 'minh_họa']",train
109,không hiểu bài cho lắm .,3,0,['lắm'],train
110,"dạy dễ hiểu , tận tâm , nhiệt tình .",0,2,"['dạy', 'tận_tâm', 'nhiệt_tình']",train
111,"giảng viên vui vẻ , nhiệt tình , kỹ năng truyền đạt tốt .",0,2,"['giảng_viên', 'vui_vẻ', 'nhiệt_tình', 'kỹ_năng', 'truyền_đạt']",train
112,giảng bài chuyên sâu .,0,2,"['giảng', 'chuyên_sâu']",train
113,chữ viết nhỏ .,0,0,['chữ_viết'],train
114,"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",0,2,"['giảng_viên', 'giảng_dạy', 'thường_xuyên', 'cung_cấp', 'kiến_thức']",train
115,phần thực hành theo hình thức 2 sẽ hợp lý hơn .,1,0,"['thực_hành', 'hình_thức', '2', 'hợp_lý']",train
116,"thầy rất vui tính , truyền tải thông tin tuyệt vời .",0,2,"['thầy', 'vui_tính', 'truyền_tải', 'thông_tin', 'tuyệt_vời']",train
117,nhẹ nhàng và dễ hiểu .,0,2,['nhẹ_nhàng'],train
118,mong thầy và nhà trường xem xét lại những điều em vừa nói .,0,0,"['mong', 'thầy', 'nhà_trường', 'xem_xét_lại']",train
119,phát âm không tốt .,0,0,['phát_âm'],train
120,nói lan man .,0,0,['lan_man'],train
121,"do đặc thù của môn học yêu cầu sinh viên phải vận dụng được lý thuyết vào phân tích tìm ra vấn đề , vì vậy nên tăng cường đưa ra các bài tập , bài lab gần với thực tiễn để sinh viên có thể luyện tập .",1,0,"['đặc_thù', 'môn_học', 'sinh_viên', 'vận_dụng', 'lý_thuyết', 'phân_tích', 'tăng_cường', 'bài_tập', 'lab', 'thực_tiễn', 'sinh_viên', 'luyện_tập']",train
122,thầy nói nhỏ quá colonsmile .,0,2,"['thầy', 'colonsmile']",train
123,mong các môn thực hành cách tuần sẽ chuyển thành hàng tuần .,1,0,"['mong', 'môn', 'thực_hành', 'tuần', 'thành', 'hàng', 'tuần']",train
124,thầy rất hiểu tâm lý của sinh viên .,0,2,"['thầy', 'tâm_lý', 'sinh_viên']",train
125,không hoàn toàn hài lòng với cách giảng dạy của thầy .,0,0,"['hài_lòng', 'giảng_dạy', 'thầy']",train
126,"dạy dễ hiểu , vui vẻ , tận tình .",0,2,"['dạy', 'vui_vẻ', 'tận_tình']",train
127,"các hoạt động trong tiết học đa dạng , không gò bó , cứng nhắc gây nhàm chán mà giúp cho sinh viên cảm thấy thoải mái và sáng tạo trong học tập .",1,2,"['hoạt_động', 'tiết', 'học', 'đa_dạng', 'gò_bó', 'cứng_nhắc', 'nhàm_chán', 'giúp', 'sinh_viên', 'thoải_mái', 'sáng_tạo', 'học_tập']",train
128,"đảm bảo giờ lên lớp , truyền đạt hiệu quả , tích cực .",0,2,"['lên_lớp', 'truyền_đạt', 'hiệu_quả', 'tích_cực']",train
129,"tóm lại , em hoàn toàn không hài lòng về chất lượng giảng dạy của thầy .",0,0,"['tóm', 'hài_lòng', 'chất_lượng', 'giảng_dạy', 'thầy']",train
130,"giảng viên tận tình , không khí giờ học không áp lực .",0,2,"['giảng_viên', 'tận_tình', 'không_khí', 'học', 'áp_lực']",train
131,"phòng thực hành quá kém chất lượng , máy móc không đảm bảo .",2,0,"['phòng', 'thực_hành', 'kém', 'chất_lượng', 'máy_móc']",train
132,"em nghĩ môn này rất khó , nên cần có cách học riêng .",1,0,"['môn', 'học']",train
133,cô rất tận tình .,0,2,['tận_tình'],train
134,"nội dung thực hành còn sơ sài , giảng viên chưa hướng dẫn , thông báo trước hay giảng giải về nội dung thực hành .",0,0,"['nội_dung', 'thực_hành', 'sơ_sài', 'giảng_viên', 'hướng_dẫn', 'thông_báo', 'giảng_giải', 'nội_dung', 'thực_hành']",train
135,ra bài tập vừa phải thôi và phải chữa bài .,1,0,"['bài_tập', 'chữa']",train
136,"nội dung bài giảng hay , phù hợp và truyền đạt nội dung bài kết hợp ví dụ tuyệt vời !",0,2,"['nội_dung', 'giảng', 'truyền_đạt', 'nội_dung', 'kết_hợp', 'ví_dụ', 'tuyệt_vời']",train
137,"giảng viên cho nghỉ quá nhiều , đến cuối kỳ học bù quá nhiều .",0,0,"['giảng_viên', 'nghỉ', 'kỳ', 'học', 'bù']",train
138,nên cho sinh viên những đề thi thử môn tiếng anh sao cho gần tương tự trong đề thi thật để kết quả học tập nâng cao .,0,0,"['sinh_viên', 'đề', 'thi', 'thử', 'môn', 'tiếng', 'tương_tự', 'đề', 'thi', 'kết_quả', 'học_tập', 'nâng']",train
139,môn học rất là hữu ích .,1,2,"['môn_học', 'hữu_ích']",train
140,luôn tạo được sự hứng thú và động lực học cho sinh viên .,0,2,"['hứng_thú', 'động_lực_học', 'sinh_viên']",train
141,giảng bài tốt .,0,2,['giảng'],train
142,"tận tình , vui vẻ .",0,2,"['tận_tình', 'vui_vẻ']",train
143,"tài liệu đầy đủ , phương pháp dạy dễ tiếp thu và giảng viên nhiệt tình .",1,2,"['tài_liệu', 'đầy_đủ', 'phương_pháp', 'dạy', 'tiếp_thu', 'giảng_viên', 'nhiệt_tình']",train
144,"cô dạy hay , thích lên lớp cô dạy .",0,2,"['dạy', 'lên_lớp', 'dạy']",train
145,giảng viên nhiệt tình truyền đạt dễ hiểu .,0,2,"['giảng_viên', 'nhiệt_tình', 'truyền_đạt']",train
146,"thầy nên nói chậm lại , nói hơi nhanh .",0,0,"['thầy', 'chậm', 'hơi']",train
147,không dạy lố giờ nữa .,0,0,"['dạy', 'lố']",train
148,"cô dạy rất tâm huyết , nhiệt tình .",0,2,"['dạy', 'tâm_huyết', 'nhiệt_tình']",train
149,"thầy là một người sống rất có tâm , lại có vẻ bề ngoài đẹp trai , thầy rất hóm hỉnh và dí dỏm .",0,2,"['thầy', 'sống', 'tâm', 'vẻ', 'bề_ngoài', 'đẹp_trai', 'thầy', 'hóm_hỉnh', 'dí_dỏm']",train
150,em thấy vậy được rồi .,3,2,[],train
151,cô nhiệt tình .,0,2,['nhiệt_tình'],train
152,"thầy rất tốt , có nhiều phương pháp dạy hay , mong thầy tiếp tục phát huy .",0,2,"['thầy', 'phương_pháp', 'dạy', 'mong', 'thầy', 'phát_huy']",train
153,thầy thường xuyên liên hệ với thực tiễn .,0,2,"['thầy', 'thường_xuyên', 'liên_hệ', 'thực_tiễn']",train
154,những gì quan trọng cần nắm bắt và tìm hiểu thêm .,1,0,['nắm_bắt'],train
155,cô quá đẹp colonlove .,0,2,"['đẹp', 'colonlove']",train
156,"giảng viên hoàn toàn không trả lời thích đáng các câu hỏi , thắc mắc được đặt ra của sinh viên .",0,0,"['giảng_viên', 'trả_lời', 'thích_đáng', 'câu', 'thắc_mắc', 'sinh_viên']",train
157,giáo viên tốt và nhiều năng lượng .,0,2,"['giáo_viên', 'năng_lượng']",train
158,nhưng mà phòng thực hành hiện tại thì chỉ trang bị máy có 1 gb ram thôi .,2,0,"['phòng', 'thực_hành', 'trang_bị', 'máy', '1', 'gb', 'ram']",train
159,làm bài tập dễ hiểu .,0,2,['bài_tập'],train
160,"bộ kit thực hành cần được nâng cấp để không xảy ra tình trạng hư , trục trặc .",2,0,"['kit', 'thực_hành', 'nâng_cấp', 'xảy', 'hư', 'trục_trặc']",train
161,"thầy dạy nhiệt tình , rất hăng hái .",0,2,"['thầy', 'dạy', 'nhiệt_tình', 'hăng_hái']",train
162,"thích nhất phần thuật toán dijktra , vì phần này nhờ cấu trúc rời rạc nên thầy giảng thì em biết .",0,2,"['thuật_toán', 'dijktra', 'cấu_trúc', 'rời_rạc', 'thầy', 'giảng']",train
163,"thầy toàn dạy slide tiếng anh , đôi lúc thầy đọc mà có khi thầy còn không hiểu chứ huống chi sinh viên .",0,0,"['thầy', 'toàn', 'dạy', 'slide', 'tiếng', 'đôi', 'thầy', 'đọc', 'thầy', 'huống_chi', 'sinh_viên']",train
164,giáo viên dạy nhiệt tình và rất tận tâm .,0,2,"['giáo_viên', 'dạy', 'nhiệt_tình', 'tận_tâm']",train
165,"giảng viên dễ mến , dễ gần gũi với sinh viên .",0,2,"['giảng_viên', 'mến', 'gần_gũi', 'sinh_viên']",train
166,thầy hầu như không giải đáp thắc mắc của sinh viên khi bài tập mắc lỗi hoặc có nhưng rất hời hợt .,0,0,"['thầy', 'hầu_như', 'giải_đáp', 'thắc_mắc', 'sinh_viên', 'bài_tập', 'mắc', 'lỗi', 'hời_hợt']",train
167,nhiệt tình và thân thiết với học sinh .,0,2,"['nhiệt_tình', 'thân_thiết', 'học_sinh']",train
168,có thể hai thầy chưa nhất quán được nội dung phần thực hành .,1,0,"['hai', 'thầy', 'nhất_quán', 'nội_dung', 'thực_hành']",train
169,thầy nên hướng dẫn kỹ hơn nữa .,0,0,"['thầy', 'hướng_dẫn', 'kỹ']",train
170,"nhiệt tình , cung cấp kiến thức đầy đủ .",0,2,"['nhiệt_tình', 'cung_cấp', 'kiến_thức', 'đầy_đủ']",train
171,"tận tâm giúp đỡ học sinh , giải đáp thắc mắc .",0,2,"['tận_tâm', 'giúp_đỡ', 'học_sinh', 'giải_đáp', 'thắc_mắc']",train
172,thang điểm kiểm tra bài thực hành dễ gây ức chế .,1,2,"['thang', 'kiểm_tra', 'thực_hành', 'ức_chế']",train
173,làm cho người học bị rối .,0,0,"['học', 'rối']",train
174,"lý thuyết chậm rất nhiều so với thực hành , do đó nhiều khi chúng em phải làm bài tập thực hành mà chưa học qua lý thuyết .",1,0,"['lý_thuyết', 'chậm', 'thực_hành', 'bài_tập', 'thực_hành', 'học', 'lý_thuyết']",train
175,dạy quá thời gian quy định .,0,2,"['dạy', 'quy_định']",train
176,"thầy vui tính , dễ gần và thân thiện với sinh viên .",0,2,"['thầy', 'vui_tính', 'thân_thiện', 'sinh_viên']",train
177,giảng quá khó hiểu .,0,0,['giảng'],train
178,thầy dạy nhiệt tình nhưng cách dạy của thầy hơi khô khan .,0,0,"['thầy', 'dạy', 'nhiệt_tình', 'dạy', 'thầy', 'hơi', 'khô_khan']",train
179,cụ thể doubledot về việc hướng dẫn bài tập về nội dung đó .,0,1,"['doubledot', 'hướng_dẫn', 'bài_tập', 'nội_dung']",train
180,nhà trường nên cập nhật visual studio lên phiên bản mới nhất để tụi em thực hành tốt hơn .,2,0,"['nhà_trường', 'cập_nhật', 'visual', 'studio', 'phiên_bản', 'tụi', 'thực_hành']",train
181,thực hành cần được quan tâm hơn .,1,0,['thực_hành'],train
182,thầy dạy không có tâm .,0,0,"['thầy', 'dạy', 'tâm']",train
183,"cơ sở vật chất cần được cải thiện , tránh việc học ở các giảng đường .",2,0,"['cơ_sở', 'vật_chất', 'cải_thiện', 'học', 'giảng_đường']",train
184,ngoài ra còn nhiều kiến thức ngoài .,1,1,['kiến_thức'],train
185,"thầy vui vẻ , nhiệt tình và dạy dễ hiểu .",0,2,"['thầy', 'vui_vẻ', 'nhiệt_tình', 'dạy']",train
186,"sửa bài tập chi tiết , kỹ càng , đặt ra nhiều vấn đề hay .",0,2,"['sửa', 'bài_tập', 'chi_tiết', 'kỹ_càng']",train
187,"thầy giảng rất có tâm , truyền đạt kiến thức thực tế , dễ hiểu và thuyết phục .",0,2,"['thầy', 'giảng', 'tâm', 'truyền_đạt', 'kiến_thức', 'thuyết_phục']",train
188,"thầy dạy dễ hiểu , siêng chép , vui tính .",0,2,"['thầy', 'dạy', 'siêng', 'chép', 'vui_tính']",train
189,kiến thức giáo viên tốt .,0,2,"['kiến_thức', 'giáo_viên']",train
190,nên thêm thời gian học .,1,0,['học'],train
191,máy thực hành nên cài visual studio 2013 .,2,0,"['máy', 'thực_hành', 'cài', 'visual', 'studio', '2013']",train
192,thầy tận tâm nhiệt tình .,0,2,"['thầy', 'tận_tâm', 'nhiệt_tình']",train
