sentence,topic,sentiment,dataset,tokens
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,0,train,"['giáo_viên', 'nghỉ', 'dạy', 'liên_tục', 'học_kỳ', 'học', 'bù', 'tiết', 'học', 'bù', 'ảnh_hưởng', 'đồ_án', 'trễ', 'deadline']"
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,0,train,"['giáo_viên', 'dạy', 'dạy', 'thông_báo', 'sinh_viên', 'tốn', 'công_sức', 'tiền_bạc', 'đợi', 'đi']"
"cần có một phòng máy tốt hơn , hiện đại hơn .",2,0,train,"['phòng', 'máy', 'hiện_đại']"
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,0,train,"['thầy', 'bài_tập', 'tương_tự', 'quên', 'dạng', 'tựa', 'hơi']"
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",0,0,train,"['ngờ', 'môn', 'chán', 'học', 'môn', 'thầy', 'dạy', 'chán', 'kinh_khủng', 'đi', 'trễ', '30', '45', 'phút', 'nhiệt_tình']"
giảng viên đánh giá sai điểm và năng lực của học sinh .,0,0,train,"['giảng_viên', 'sai', 'năng_lực', 'học_sinh']"
không đáp ứng được đề cương môn học đề ra .,1,0,train,"['đáp_ứng', 'đề_cương', 'môn_học', 'đề']"
thầy nên hướng dẫn thực hành nhiều hơn .,0,0,train,"['thầy', 'hướng_dẫn', 'thực_hành']"
"giảng viên thân thiện , quan tâm tới sinh viên .",0,2,train,"['giảng_viên', 'thân_thiện', 'sinh_viên']"
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",1,0,train,"['môn', 'lập_trình', 'hướng', 'đối_tượng', 'cập_nhật', 'nội_dung', 'giảng_giải']"
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",0,2,train,"['giáo_viên', 'nhiệt_tình', 'tâm_huyết', 'khả_năng', 'truyền_đạt']"
thầy dạy rất tốt và nhiệt tình .,0,2,train,"['thầy', 'dạy', 'nhiệt_tình']"
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,0,train,"['hơi', 'lớp', 'ồn']"
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,0,train,"['bài_tập', 'kiến', 'thực_hiện_tại', 'sinh_viên', 'bài_tập']"
bài tập và hoạt động nhóm còn ít .,1,0,train,"['bài_tập', 'hoạt_động']"
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",0,2,train,"['giảng_viên', 'nhiệt_tình', 'phương_pháp', 'giảng_dạy', 'sinh_viên', 'nắm_bắt', 'kiến_thức', 'lớp']"
cô hướng dẫn thực hành khá đầy đủ .,0,2,train,"['hướng_dẫn', 'thực_hành', 'đầy_đủ']"
được học nhiều kinh nghiệm từ thầy wzjwz163 .,0,2,train,"['học', 'kinh_nghiệm', 'thầy', 'wzjwz163']"
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",0,2,train,"['kiến_thức', 'thầy', 'bảo_đảm', 'lên_lớp']"
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,1,0,train,"['tác_dụng', 'học', 'môn']"
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,2,0,train,"['cải_thiện', 'cơ_sở', 'vật_chất', 'máy_chiếu', 'phòng', 'học']"
dạy không phù hợp với cách học của em .,0,0,train,"['dạy', 'học']"
giải thích nội dung mới rõ ràng .,0,2,train,"['giải_thích', 'nội_dung', 'rõ_ràng']"
lớp học quá đông !,1,0,train,"['lớp_học', 'đông']"
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",1,0,train,"['môn', 'căn_bản', 'thầy', 'dạy', 'sinh_viên', 'kỹ', 'căn_bản']"
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,0,train,"['giảng_viên', 'bài_tập', 'sinh_viên', '5', 'chương', 'chữa', 'đáp_án']"
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",1,0,train,"['trường', 'ta', 'thiệt_thòi', 'tụi']"
tôi cảm thấy giảng viên dạy rất tốt .,0,2,train,"['giảng_viên', 'dạy']"
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,0,train,"['thầy', 'dạy', 'chính_thức', 'học', 'nghỉ', 'thông_báo', 'sinh_viên', 'đứng', 'chờ', 'tiết']"
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,3,0,train,"['tương_tác', 'giảng_viên', 'sinh_viên']"
giảng viên thân thiện nhiệt tình cởi mở .,0,2,train,"['giảng_viên', 'thân_thiện', 'nhiệt_tình', 'cởi_mở']"
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",0,2,train,"['giáo_viên', 'mời', 'công_ty', 'trình_bày', 'giúp', 'sinh_viên', 'cập_nhật', 'kiến_thức', 'thực_tiễn']"
coi lại thái độ giảng viên thực hành .,0,0,train,"['coi', 'thái_độ', 'giảng_viên', 'thực_hành']"
"giảng viên nhiệt tình , giải nhiều bài tập .",0,2,train,"['giảng_viên', 'nhiệt_tình', 'giải', 'bài_tập']"
bài giảng của thầy rất nhiệt tình .,0,2,train,"['giảng', 'thầy', 'nhiệt_tình']"
"môn học chưa thực tiễn , chưa thu hút sinh viên .",1,0,train,"['môn_học', 'thực_tiễn', 'thu_hút', 'sinh_viên']"
dạy hơi nhanh !,0,0,train,"['dạy', 'hơi']"
ít làm bài tập .,1,0,train,['bài_tập']
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,0,train,"['giảng', 'kém', 'thu_hút', 'đứng', 'giảng', 'hợp_lý', 'ôn_tập', 'kỳ']"
"giảng viên nhiệt tình , bài giảng thu hút .",0,2,train,"['giảng_viên', 'nhiệt_tình', 'giảng', 'thu_hút']"
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",0,2,train,"['thầy', 'giảng_viên', 'lý_thuyết', 'môn']"
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,1,0,train,"['môn', 'trừu_tượng', 'mong', 'thầy', 'liên_tưởng', 'thực_tiễn']"
cần thêm nhiều tài liệu cho sinh viên .,1,0,train,"['tài_liệu', 'sinh_viên']"
bài tập trên lớp .,1,1,train,"['bài_tập', 'lớp']"
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,1,0,train,"['tiết', 'dạy', 'sinh_viên', 'hỏi_đáp', 'thắc_mắc', 'môn_học']"
thầy nhiệt tình dễ hiểu .,0,2,train,"['thầy', 'nhiệt_tình']"
thực hành và lý thuyết nên dạy song song .,1,0,train,"['thực_hành', 'lý_thuyết', 'dạy', 'song_song']"
giảng viên dạy nhanh .,0,0,train,"['giảng_viên', 'dạy']"
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,1,0,train,"['bài_tập', 'lớp', 'giới_thiệu', 'đầu', 'tiết', 'học', 'học_sinh', 'tốn', 'đọc', 'đề', 'suy_nghĩ', 'giải', 'giảng']"
giảng viên cho bài tập hay .,0,2,train,"['giảng_viên', 'bài_tập']"
cập nhật bài tập mới .,1,0,train,"['cập_nhật', 'bài_tập']"
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,0,train,"['lên_lớp', 'làm_việc', 'thầy', 'giảng']"
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",0,2,train,"['tận_tâm', 'nhiệt_tình', 'sinh_viên']"
phản hồi giải đáp thắc mắc cho sinh viên .,0,2,train,"['phản_hồi', 'giải_đáp', 'thắc_mắc', 'sinh_viên']"
dạy quá nhanh .,0,0,train,['dạy']
mong ban thiết bị sớm khắc phục ạ !,2,0,train,"['mong', 'ban', 'thiết_bị', 'khắc_phục']"
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,1,0,train,"['môn', 'đề_tài', 'áp_dụng', 'lý_thuyết', 'thực_tiễn', 'lớp', 'học', 'đống', 'lý_thuyết', 'hiếm', 'đa_số', 'buồn_ngủ', 'lên_lớp']"
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,0,train,"['giảng_viên', 'đổi_mới', 'phương_pháp', 'giảng_dạy', 'thô', 'cứng', 'hấp_dẫn', 'sinh_viên']"
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",0,2,train,"['nhiệt_tình', 'chủ_động', 'học_sinh', 'tiếp_cận', 'môn_học', 'tham_gia', 'chương_trình', 'phong_trào', 'nâng', 'kỹ_năng']"
"cô dạy rất tận tình , dễ hiểu .",0,2,train,"['dạy', 'tận_tình']"
không đáp ứng được nhu cầu của sinh viên .,1,0,train,"['đáp_ứng', 'nhu_cầu', 'sinh_viên']"
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,0,2,train,"['thầy', 'nhiệt_tình', 'hài_lòng']"
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,0,2,train,"['giảng_dạy', 'thầy', 'hiễu']"
"nhiệt tình , dễ thương .",0,2,train,"['nhiệt_tình', 'dễ_thương']"
không hướng dẫn đồ án .,0,0,train,"['hướng_dẫn', 'đồ_án']"
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,1,0,train,"['đề_nghị', 'nhà_trường', 'bổ_sung', 'tài_liệu', 'môn_học', 'cập_nhật', 'nội_dung']"
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",0,0,train,"['chép', 'lãng_phí', 'giảng']"
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,0,train,"['học', 'thầy', 'wzjwz178', 'kỳ', 'giáo_viên', 'thực_hành', '2', 'có_lẽ', 'daa', 'nhầm']"
đề thi môn dài sinh viên làm không đủ thời gian .,3,0,train,"['đề', 'thi', 'môn', 'sinh_viên']"
cho làm nhiều bài test .,0,0,train,['test']
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,2,0,train,"['thi', 'phòng', 'máy', 'visual', '2013', 'trở_lên']"
cần thêm nhiều tài liệu cho môn học .,1,0,train,"['tài_liệu', 'môn_học']"
thầy giảng dạy tốt .,0,2,train,"['thầy', 'giảng_dạy']"
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,0,train,"['mong', 'thầy', 'hướng_dẫn']"
thầy cần cho bài tập và hướng dẫn nhiều hơn .,0,0,train,"['thầy', 'bài_tập', 'hướng_dẫn']"
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",0,2,train,"['giáo_viên', 'lên_lớp', 'giảng', 'sôi_động']"
em thấy thầy chỉ giảng cho có .,0,0,train,"['thầy', 'giảng']"
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,1,0,train,"['xác_định', 'mục_đích', 'môn_học', 'sinh_viên', 'đề_cương', 'chi_tiết', 'môn_học']"
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",0,2,train,"['thầy', 'nói_chuyện', 'sinh_viên', 'tự_nhiên', 'kinh_nghiệm']"
dạy theo sát chương trình .,0,2,train,"['dạy', 'sát', 'chương_trình']"
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,2,0,train,"['cung_cấp', 'trang', 'thiết_bị', 'phục_vụ', 'nhu_cầu_môn_học']"
đề nghị nâng cấp phòng lab khoa mạng .,2,0,train,"['đề_nghị', 'nâng_cấp', 'phòng', 'lab', 'khoa', 'mạng']"
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",0,2,train,"['thầy', 'giảng', 'tâm_huyết_bài', 'giảng', 'thực_tiễn']"
đi dạy đúng giờ .,0,2,train,"['đi', 'dạy']"
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",0,2,train,"['thầy', 'cung_cấp', 'kiến_thức', 'thầy', 'dạy', 'tận_tâm', 'nhiệt_tình']"
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,0,2,train,"['ví_dụ', 'minh_họa', 'lý_thuyết', 'lý_thuyết', 'trừu_tượng']"
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,1,0,train,"['đồ_án', 'môn_học', 'đươc', 'chính_xác', 'sinh_viên', 'chia', 'đồ_án']"
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",0,2,train,"['dạy', 'tiếp_thu', 'kiến_thức', 'trọng_tâm']"
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",0,0,train,"['dạy', 'kỹ', 'lắm', 'thoáng']"
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,0,0,train,"['kỹ', 'giảng', 'trả_lời', 'thắc_mắc', 'sinh_viên', 'lớp']"
cô khá tận tâm cho học sinh .,0,2,train,"['tận_tâm', 'học_sinh']"
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",1,0,train,"['cải_cách', 'nội_dung', 'thực_hành', 'kiến', 'nội_dung', 'thực_hành', 'trở_nên', 'lỗi_thời']"
giảng viên có khả năng truyền đạt kiến thức tốt .,0,2,train,"['giảng_viên', 'khả_năng', 'truyền_đạt', 'kiến_thức']"
cho làm nhiều bài tập .,0,0,train,['bài_tập']
nghiên cứu khoa học .,3,1,train,"['nghiên_cứu', 'khoa_học']"
"giáo viên dạy rất tận tâm , nhiệt tình .",0,2,train,"['giáo_viên', 'dạy', 'tận_tâm', 'nhiệt_tình']"
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,0,0,train,"['thầy', 'hướng_dẫn', 'đồ_án', 'hệ_thống', 'thông_tin', 'gặp_mặt', 'sinh_viên', 'lịch', 'cố_định', 'trường', 'sinh_viên', 'thắc_mắc']"
chỉ thông báo trên lớp sẽ khó tránh sai sót .,3,0,train,"['thông_báo', 'lớp', 'sai_sót']"
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,0,0,train,"['viết', 'góc', 'bảng', 'chổ', 'bụt', 'giảng', 'quan_sát']"
đề nghị lắp thêm quạt .,2,0,train,"['đề_nghị', 'lắp', 'quạt']"
dạy kỹ .,0,2,train,"['dạy', 'kỹ']"
bài tập cần đa dạng hơn .,1,0,train,"['bài_tập', 'đa_dạng']"
nói rất nhỏ .,0,0,train,[]
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,0,train,"['sai', 'giáo_viên', 'hơi', 'tự_ái']"
không sửa các bài tập thực hành .,0,0,train,"['sửa', 'bài_tập', 'thực_hành']"
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,1,0,train,"['cách_thức', 'chấm', 'kiểm_tra', 'thực_hành']"
làm bài tập nhiều mặc dù không hiểu lắm .,1,0,train,"['bài_tập', 'mặc_dù', 'lắm']"
thi thoảng nghỉ học không thông báo trên daa .,0,0,train,"['nghỉ', 'học', 'thông_báo', 'daa']"
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",0,2,train,"['thầy', 'dạy', 'tiết', 'học', 'sôi_nổi']"
"thầy giảng dạy nhiệt tình , truyền cảm .",0,2,train,"['thầy', 'giảng_dạy', 'nhiệt_tình', 'truyền_cảm']"
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",0,2,train,"['giảng_dạy', 'chi_tiết', 'tiếp_thu']"
